koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
40.34305,19.948336,590,2.68
46.005067,19.2718325,1009,2.68
39.67791,19.0774624,430,2.69
49.774484,19.7047576,540,2.69
47.629929,19.1853666,950,2.69
47.880871,19.4917304,918,2.7
44.858098,19.456131,687,2.7
42.779675,19.5882777,616,2.7
51.319578,19.7578069,752,2.71
41.061015,19.5275441,397,2.71
46.61504,19.2141345,530,2.71
46.117523,19.200802,1008,2.71
47.6052,19.8838657,596,2.71
51.31978,19.757783,390,2.72
43.209811,19.7987335,914,2.72
41.62966,18.968083,685,2.72
43.876011,19.3035684,827,2.72
44.381542,20.0344888,850,2.73
43.888911,18.8261228,768,2.73
50.58632,19.322012,950,2.73
41.272817,19.5750697,718,2.73
49.896576,19.3187149,437,2.73
41.909188,19.8076723,513,2.74
40.61607,19.235903,437,2.74
42.65777,19.096845,497,2.74
40.49619,19.8834712,932,2.75
40.919346,19.0666583,678,2.75
46.83519,19.7769839,854,2.75
42.301488,19.1495144,591,2.78
43.536883,19.6494687,1184,2.78
48.481304,19.6745959,1210,2.78
39.07703,19.1055473,745,2.79
46.002248,19.6217079,1258,2.79
39.825216,19.6473369,870,2.79
47.27928,19.887879,873,2.79
43.209783,19.7987413,608,2.8
46.059242,19.1594879,957,2.8
47.72978,19.543104,489,2.8
40.557361,19.6294795,864,2.8
40.7842,18.865261,680,2.8
37.567617,19.4979964,594,2.81
46.687676,19.5987679,699,2.81
46.167027,19.6102111,599,2.81
43.88896,18.826136,357,2.81
44.305043,19.1709828,543,2.81
41.80828,19.104381,613,2.82
46.566398,18.9960733,381,2.82
42.81178,19.0533017,662,2.83
46.896369,19.1400642,881,2.83
40.245254,19.2300401,660,2.85
46.57732,19.766575,558,2.85
42.42404,19.717754,737,2.86
42.301424,19.1495078,986,2.87
42.075587,19.6449483,907,2.87
48.256996,18.8306905,621,2.87
43.62949,19.621126,568,2.88
40.52093,19.2156029,772,2.88
